# Gnuplot Mesh Archive - Original Polygon Boundaries
# X_coord                Y_coord
    0.00000000000000E+00    0.00000000000000E+00
    1.00000000000000E+00    0.00000000000000E+00
    1.00000000000000E+00    1.00000000000000E+00
    0.00000000000000E+00    1.00000000000000E+00
    0.00000000000000E+00    0.00000000000000E+00


    1.00000000000000E+00    0.00000000000000E+00
    2.00000000000000E+00    0.00000000000000E+00
    2.00000000000000E+00    1.00000000000000E+00
    1.50000000000000E+00    1.20000000000000E+00
    1.00000000000000E+00    1.00000000000000E+00
    1.00000000000000E+00    0.00000000000000E+00


